,id,リージョン,ポケモン名
0,1,0,フシギダネ
0,2,0,フシギソウ
0,3,0,フシギバナ
0,3,1,メガフシギバナ
0,4,0,ヒトカゲ
0,5,0,リザード
0,6,0,リザードン
0,6,1,メガリザードンX
0,6,2,メガリザードンY
0,7,0,ゼニガメ
0,8,0,カメール
0,9,0,カメックス
0,9,1,メガカメックス
0,10,0,キャタピー
0,11,0,トランセル
0,12,0,バタフリー
0,13,0,ビードル
0,14,0,コクーン
0,15,0,スピアー
0,15,1,メガスピアー
0,16,0,ポッポ
0,17,0,ピジョン
0,18,0,ピジョット
0,18,1,メガピジョット
0,19,0,コラッタ
0,19,1,コラッタ_A
0,20,0,ラッタ
0,20,1,ラッタ_A
0,21,0,オニスズメ
0,22,0,オニドリル
0,23,0,アーボ
0,24,0,アーボック
0,25,0,ピカチュウ
0,26,0,ライチュウ
0,26,1,ライチュウ_A
0,27,0,サンド
0,27,1,サンド_A
0,28,0,サンドパン
0,28,1,サンドパン_A
0,29,0,ニドラン♀
0,30,0,ニドリーナ
0,31,0,ニドクイン
0,32,0,ニドラン♂
0,33,0,ニドリーノ
0,34,0,ニドキング
0,35,0,ピッピ
0,36,0,ピクシー
0,37,0,ロコン
0,37,1,ロコン_A
0,38,0,キュウコン
0,38,1,キュウコン_A
0,39,0,プリン
0,40,0,プクリン
0,41,0,ズバット
0,42,0,ゴルバット
0,43,0,ナゾノクサ
0,44,0,クサイハナ
0,45,0,ラフレシア
0,46,0,パラス
0,47,0,パラセクト
0,48,0,コンパン
0,49,0,モルフォン
0,50,0,ディグダ
0,50,1,ディグダ_A
0,51,0,ダグトリオ
0,51,1,ダグトリオ_A
0,52,0,ニャース
0,52,1,ニャース_A
0,52,2,ニャース_G
0,53,0,ペルシアン
0,53,1,ペルシアン_A
0,54,0,コダック
0,55,0,ゴルダック
0,56,0,マンキー
0,57,0,オコリザル
0,58,0,ガーディ
0,59,0,ウインディ
0,60,0,ニョロモ
0,61,0,ニョロゾ
0,62,0,ニョロボン
0,63,0,ケーシィ
0,64,0,ユンゲラー
0,65,0,フーディン
0,65,1,メガフーディン
0,66,0,ワンリキー
0,67,0,ゴーリキー
0,68,0,カイリキー
0,69,0,マダツボミ
0,70,0,ウツドン
0,71,0,ウツボット
0,72,0,メノクラゲ
0,73,0,ドククラゲ
0,74,0,イシツブテ
0,74,1,イシツブテ_A
0,75,0,ゴローン
0,75,1,ゴローン_A
0,76,0,ゴローニャ
0,76,1,ゴローニャ_A
0,77,0,ポニータ
0,77,1,ポニータ_G
0,78,0,ギャロップ
0,78,1,ギャロップ_G
0,79,0,ヤドン
0,79,1,ヤドン_G
0,80,0,ヤドラン
0,80,1,メガヤドラン
0,80,2,ヤドラン_G
0,81,0,コイル
0,82,0,レアコイル
0,83,0,カモネギ
0,83,1,カモネギ_G
0,84,0,ドードー
0,85,0,ドードリオ
0,86,0,パウワウ
0,87,0,ジュゴン
0,88,0,ベトベター
0,88,1,ベトベター_A
0,89,0,ベトベトン
0,89,1,ベトベトン_A
0,90,0,シェルダー
0,91,0,パルシェン
0,92,0,ゴース
0,93,0,ゴースト
0,94,0,ゲンガー
0,94,1,メガゲンガー
0,95,0,イワーク
0,96,0,スリープ
0,97,0,スリーパー　
0,98,0,クラブ
0,99,0,キングラー
0,100,0,ビリリダマ
0,101,0,マルマイン
0,102,0,タマタマ
0,103,0,ナッシー
0,103,1,ナッシー_A
0,104,0,カラカラ
0,105,0,ガラガラ
0,105,1,ガラガラ_A
0,106,0,サワムラー
0,107,0,エビワラー
0,108,0,ベロリンガ
0,109,0,ドガース
0,110,0,マタドガス
0,110,1,マタドガス_G
0,111,0,サイホーン
0,112,0,サイドン
0,113,0,ラッキー
0,114,0,モンジャラ
0,115,0,ガルーラ
0,115,1,メガガルーラ
0,116,0,タッツー
0,117,0,シードラ
0,118,0,トサキント
0,119,0,アズマオウ
0,120,0,ヒトデマン
0,121,0,スターミー
0,122,0,バリヤード
0,122,1,バリヤード_G
0,123,0,ストライク
0,124,0,ルージュラ
0,125,0,エレブー
0,126,0,ブーバー
0,127,0,カイロス
0,127,1,メガカイロス
0,128,0,ケンタロス
0,129,0,コイキング
0,130,0,ギャラドス
0,130,1,メガギャラドス
0,131,0,ラプラス
0,132,0,メタモン
0,133,0,イーブイ
0,134,0,シャワーズ
0,135,0,サンダース
0,136,0,ブースター
0,137,0,ポリゴン
0,138,0,オムナイト
0,139,0,オムスター
0,140,0,カブト
0,141,0,カブトプス
0,142,0,プテラ
0,142,1,メガプテラ
0,143,0,カビゴン
0,144,0,フリーザー
0,144,1,フリーザー_G
0,145,0,サンダー
0,145,1,サンダー_G
0,146,0,ファイヤー
0,146,1,ファイヤー_G
0,147,0,ミニリュウ
0,148,0,ハクリュー
0,149,0,カイリュー
0,150,0,ミュウツー
0,150,1,メガミュウツーX
0,150,2,メガミュウツーY
0,151,0,ミュウ
0,152,0,チコリータ
0,153,0,ベイリーフ
0,154,0,メガニウム
0,155,0,ヒノアラシ
0,156,0,マグマラシ
0,157,0,バクフーン
0,158,0,ワニノコ
0,159,0,アリゲイツ
0,160,0,オーダイル
0,161,0,オタチ
0,162,0,オオタチ
0,163,0,ホーホー
0,164,0,ヨルノズク
0,165,0,レディバ
